date,sku,category,region,channel,units,list_price_usd,discount_pct,net_revenue_usd
2026-02-02,NOVA-MOB-01,mobile,South,online,2,699.99,0.0522,1326.9
2026-02-02,NOVA-MOB-01,mobile,South,marketplace,1,699.99,0.0531,662.82
2026-02-02,NOVA-MOB-01,mobile,East,online,3,699.99,0.046,2003.37
2026-02-02,NOVA-MOB-01,mobile,East,marketplace,1,699.99,0.0588,658.83
2026-02-02,NOVA-MOB-01,mobile,West,online,1,699.99,0.0421,670.52
2026-02-02,NOVA-MOB-01,mobile,West,marketplace,1,699.99,0.0454,668.21
2026-02-02,NOVA-MOB-02,mobile,North,online,3,449.99,0.0441,1290.44
2026-02-02,NOVA-MOB-02,mobile,North,marketplace,1,449.99,0.0453,429.61
2026-02-02,NOVA-MOB-02,mobile,South,online,3,449.99,0.0569,1273.16
2026-02-02,NOVA-MOB-02,mobile,South,marketplace,1,449.99,0.0485,428.17
2026-02-02,NOVA-MOB-02,mobile,East,online,2,449.99,0.0554,850.12
2026-02-02,NOVA-MOB-02,mobile,East,marketplace,1,449.99,0.0452,429.65
2026-02-02,NOVA-MOB-02,mobile,West,online,2,449.99,0.0486,856.24
2026-02-02,NOVA-MOB-02,mobile,West,marketplace,1,449.99,0.0415,431.32
2026-02-02,NOVA-CPT-01,computing,North,online,2,999.99,0.0509,1898.18
2026-02-02,NOVA-CPT-01,computing,North,marketplace,1,999.99,0.0517,948.29
2026-02-02,NOVA-CPT-01,computing,South,online,1,999.99,0.0462,953.79
2026-02-02,NOVA-CPT-01,computing,East,online,2,999.99,0.058,1883.98
2026-02-02,NOVA-CPT-01,computing,West,online,1,999.99,0.0556,944.39
2026-02-02,NOVA-CPT-02,computing,North,online,2,399.99,0.0431,765.5
2026-02-02,NOVA-CPT-02,computing,North,marketplace,1,399.99,0.0573,377.07
2026-02-02,NOVA-CPT-02,computing,South,online,2,399.99,0.0576,753.9
2026-02-02,NOVA-CPT-02,computing,East,online,2,399.99,0.0586,753.1
2026-02-02,NOVA-CPT-02,computing,East,marketplace,1,399.99,0.0573,377.07
2026-02-02,NOVA-CPT-02,computing,West,online,1,399.99,0.0557,377.71
2026-02-02,NOVA-WBL-01,wearables,North,online,3,299.99,0.0444,860.01
2026-02-02,NOVA-WBL-01,wearables,North,marketplace,1,299.99,0.0492,285.23
2026-02-02,NOVA-WBL-01,wearables,South,online,2,299.99,0.0446,573.22
2026-02-02,NOVA-WBL-01,wearables,South,marketplace,1,299.99,0.0439,286.82
2026-02-02,NOVA-WBL-01,wearables,East,online,3,299.99,0.0593,846.6
2026-02-02,NOVA-WBL-01,wearables,East,marketplace,1,299.99,0.0528,284.15
2026-02-02,NOVA-WBL-01,wearables,West,online,3,299.99,0.0507,854.34
2026-02-02,NOVA-WBL-01,wearables,West,marketplace,1,299.99,0.0423,287.3
2026-02-02,NOVA-WBL-02,wearables,North,online,4,79.99,0.0593,300.99
2026-02-02,NOVA-WBL-02,wearables,North,marketplace,2,79.99,0.0422,153.23
2026-02-02,NOVA-WBL-02,wearables,North,b2b,1,79.99,0.1046,71.62
2026-02-02,NOVA-WBL-02,wearables,South,online,3,79.99,0.0521,227.47
2026-02-02,NOVA-WBL-02,wearables,South,marketplace,1,79.99,0.0477,76.17
2026-02-02,NOVA-WBL-02,wearables,South,b2b,1,79.99,0.0951,72.38
2026-02-02,NOVA-WBL-02,wearables,East,online,4,79.99,0.04,307.16
2026-02-02,NOVA-WBL-02,wearables,East,marketplace,2,79.99,0.0508,151.85
2026-02-02,NOVA-WBL-02,wearables,East,b2b,1,79.99,0.1048,71.61
2026-02-02,NOVA-WBL-02,wearables,West,online,4,79.99,0.0473,304.83
2026-02-02,NOVA-WBL-02,wearables,West,marketplace,1,79.99,0.0533,75.73
2026-02-02,NOVA-ACC-01,accessories,North,online,7,29.99,0.057,197.96
2026-02-02,NOVA-ACC-01,accessories,North,marketplace,5,29.99,0.046,143.05
2026-02-02,NOVA-ACC-01,accessories,North,b2b,2,29.99,0.0982,54.09
2026-02-02,NOVA-ACC-01,accessories,South,online,6,29.99,0.0459,171.68
2026-02-02,NOVA-ACC-01,accessories,South,marketplace,3,29.99,0.0484,85.62
2026-02-02,NOVA-ACC-01,accessories,South,b2b,2,29.99,0.1035,53.77
2026-02-02,NOVA-ACC-01,accessories,East,online,9,29.99,0.0523,255.79
2026-02-02,NOVA-ACC-01,accessories,East,marketplace,4,29.99,0.051,113.84
2026-02-02,NOVA-ACC-01,accessories,East,b2b,1,29.99,0.0957,27.12
2026-02-02,NOVA-ACC-01,accessories,West,online,6,29.99,0.0516,170.66
2026-02-02,NOVA-ACC-01,accessories,West,marketplace,4,29.99,0.0493,114.05
2026-02-02,NOVA-ACC-01,accessories,West,b2b,1,29.99,0.0943,27.16
2026-02-02,NOVA-ACC-02,accessories,North,online,6,49.99,0.058,282.54
2026-02-02,NOVA-ACC-02,accessories,North,marketplace,3,49.99,0.0434,143.46
2026-02-02,NOVA-ACC-02,accessories,North,b2b,1,49.99,0.1003,44.98
2026-02-02,NOVA-ACC-02,accessories,South,online,5,49.99,0.0467,238.28
2026-02-02,NOVA-ACC-02,accessories,South,marketplace,2,49.99,0.055,94.48
2026-02-02,NOVA-ACC-02,accessories,South,b2b,1,49.99,0.0945,45.27
2026-02-02,NOVA-ACC-02,accessories,East,online,5,49.99,0.0405,239.83
2026-02-02,NOVA-ACC-02,accessories,East,marketplace,2,49.99,0.0495,95.03
2026-02-02,NOVA-ACC-02,accessories,East,b2b,1,49.99,0.0915,45.42
2026-02-02,NOVA-ACC-02,accessories,West,online,4,49.99,0.0526,189.44
2026-02-02,NOVA-ACC-02,accessories,West,marketplace,2,49.99,0.0539,94.59
2026-02-02,NOVA-ACC-02,accessories,West,b2b,1,49.99,0.0949,45.25
2026-02-03,NOVA-AUD-01,audio,North,online,4,149.99,0.0401,575.9
2026-02-03,NOVA-AUD-01,audio,North,marketplace,2,149.99,0.0554,283.36
2026-02-03,NOVA-AUD-01,audio,South,online,3,149.99,0.0435,430.4
2026-02-03,NOVA-AUD-01,audio,South,marketplace,2,149.99,0.0504,284.86
2026-02-03,NOVA-AUD-01,audio,East,online,3,149.99,0.057,424.32
2026-02-03,NOVA-AUD-01,audio,East,marketplace,2,149.99,0.056,283.18
2026-02-03,NOVA-AUD-01,audio,East,b2b,1,149.99,0.1098,133.52
2026-02-03,NOVA-AUD-01,audio,West,online,3,149.99,0.059,423.42
2026-02-03,NOVA-AUD-01,audio,West,marketplace,2,149.99,0.0523,284.29
2026-02-03,NOVA-AUD-01,audio,West,b2b,1,149.99,0.1001,134.98
2026-02-03,NOVA-AUD-02,audio,North,online,6,89.99,0.051,512.4
2026-02-03,NOVA-AUD-02,audio,North,marketplace,3,89.99,0.0549,255.15
2026-02-03,NOVA-AUD-02,audio,North,b2b,1,89.99,0.0952,81.42
2026-02-03,NOVA-AUD-02,audio,South,online,3,89.99,0.0528,255.72
2026-02-03,NOVA-AUD-02,audio,South,marketplace,2,89.99,0.0504,170.91
2026-02-03,NOVA-AUD-02,audio,South,b2b,1,89.99,0.0955,81.4
2026-02-03,NOVA-AUD-02,audio,East,online,4,89.99,0.0457,343.51
2026-02-03,NOVA-AUD-02,audio,East,marketplace,2,89.99,0.0464,171.63
2026-02-03,NOVA-AUD-02,audio,East,b2b,1,89.99,0.0928,81.64
2026-02-03,NOVA-AUD-02,audio,West,online,3,89.99,0.0539,255.42
2026-02-03,NOVA-AUD-02,audio,West,marketplace,2,89.99,0.0413,172.55
2026-02-03,NOVA-AUD-02,audio,West,b2b,1,89.99,0.1009,80.91
2026-02-03,NOVA-MOB-01,mobile,North,online,2,699.99,0.0441,1338.24
2026-02-03,NOVA-MOB-01,mobile,North,marketplace,1,699.99,0.0581,659.32
2026-02-03,NOVA-MOB-01,mobile,South,online,2,699.99,0.0571,1320.04
2026-02-03,NOVA-MOB-01,mobile,South,marketplace,1,699.99,0.0476,666.67
2026-02-03,NOVA-MOB-01,mobile,East,online,2,699.99,0.0551,1322.84
2026-02-03,NOVA-MOB-01,mobile,East,marketplace,1,699.99,0.0591,658.62
2026-02-03,NOVA-MOB-01,mobile,West,online,2,699.99,0.0509,1328.72
2026-02-03,NOVA-MOB-01,mobile,West,marketplace,1,699.99,0.0444,668.91
2026-02-03,NOVA-MOB-02,mobile,North,online,3,449.99,0.0406,1295.16
2026-02-03,NOVA-MOB-02,mobile,North,marketplace,1,449.99,0.0536,425.87
2026-02-03,NOVA-MOB-02,mobile,South,online,2,449.99,0.0493,855.61
2026-02-03,NOVA-MOB-02,mobile,South,marketplace,1,449.99,0.0524,426.41
2026-02-03,NOVA-MOB-02,mobile,East,online,3,449.99,0.0513,1280.72
2026-02-03,NOVA-MOB-02,mobile,East,marketplace,1,449.99,0.0529,426.19
2026-02-03,NOVA-MOB-02,mobile,West,online,2,449.99,0.041,863.08
2026-02-03,NOVA-MOB-02,mobile,West,marketplace,1,449.99,0.0442,430.1
2026-02-03,NOVA-CPT-01,computing,North,online,2,999.99,0.0476,1904.78
2026-02-03,NOVA-CPT-01,computing,North,marketplace,1,999.99,0.0566,943.39
2026-02-03,NOVA-CPT-01,computing,South,online,1,999.99,0.0404,959.59
2026-02-03,NOVA-CPT-01,computing,East,online,1,999.99,0.053,946.99
2026-02-03,NOVA-CPT-01,computing,East,marketplace,1,999.99,0.053,946.99
2026-02-03,NOVA-CPT-01,computing,West,online,1,999.99,0.044,955.99
2026-02-03,NOVA-CPT-02,computing,North,online,1,399.99,0.0534,378.63
2026-02-03,NOVA-CPT-02,computing,North,marketplace,1,399.99,0.0444,382.23
2026-02-03,NOVA-CPT-02,computing,South,online,2,399.99,0.0434,765.26
2026-02-03,NOVA-CPT-02,computing,South,marketplace,1,399.99,0.055,377.99
2026-02-03,NOVA-CPT-02,computing,East,online,2,399.99,0.0593,752.54
2026-02-03,NOVA-CPT-02,computing,East,marketplace,1,399.99,0.0405,383.79
2026-02-03,NOVA-CPT-02,computing,West,online,2,399.99,0.0592,752.62
2026-02-03,NOVA-WBL-01,wearables,North,online,2,299.99,0.0538,567.7
2026-02-03,NOVA-WBL-01,wearables,North,marketplace,1,299.99,0.042,287.39
2026-02-03,NOVA-WBL-01,wearables,South,online,2,299.99,0.052,568.78
2026-02-03,NOVA-WBL-01,wearables,South,marketplace,1,299.99,0.0597,282.08
2026-02-03,NOVA-WBL-01,wearables,East,online,2,299.99,0.0486,570.82
2026-02-03,NOVA-WBL-01,wearables,East,marketplace,1,299.99,0.0501,284.96
2026-02-03,NOVA-WBL-01,wearables,West,online,2,299.99,0.0564,566.14
2026-02-03,NOVA-WBL-01,wearables,West,marketplace,1,299.99,0.0592,282.23
2026-02-03,NOVA-WBL-02,wearables,North,online,5,79.99,0.0541,378.31
2026-02-03,NOVA-WBL-02,wearables,North,marketplace,2,79.99,0.0547,151.23
2026-02-03,NOVA-WBL-02,wearables,North,b2b,1,79.99,0.0954,72.36
2026-02-03,NOVA-WBL-02,wearables,South,online,4,79.99,0.0508,303.71
2026-02-03,NOVA-WBL-02,wearables,South,marketplace,1,79.99,0.0487,76.09
2026-02-03,NOVA-WBL-02,wearables,South,b2b,1,79.99,0.0954,72.36
2026-02-03,NOVA-WBL-02,wearables,East,online,5,79.99,0.0566,377.31
2026-02-03,NOVA-WBL-02,wearables,East,marketplace,2,79.99,0.0576,150.77
2026-02-03,NOVA-WBL-02,wearables,East,b2b,1,79.99,0.0993,72.05
2026-02-03,NOVA-WBL-02,wearables,West,online,3,79.99,0.0476,228.55
2026-02-03,NOVA-WBL-02,wearables,West,marketplace,1,79.99,0.057,75.43
2026-02-03,NOVA-ACC-01,accessories,North,online,7,29.99,0.056,198.17
2026-02-03,NOVA-ACC-01,accessories,North,marketplace,4,29.99,0.0576,113.05
2026-02-03,NOVA-ACC-01,accessories,North,b2b,2,29.99,0.0955,54.25
2026-02-03,NOVA-ACC-01,accessories,South,online,5,29.99,0.059,141.1
2026-02-03,NOVA-ACC-01,accessories,South,marketplace,3,29.99,0.0544,85.08
2026-02-03,NOVA-ACC-01,accessories,South,b2b,1,29.99,0.1052,26.84
2026-02-03,NOVA-ACC-01,accessories,East,online,8,29.99,0.0529,227.23
2026-02-03,NOVA-ACC-01,accessories,East,marketplace,4,29.99,0.0559,113.25
2026-02-03,NOVA-ACC-01,accessories,East,b2b,1,29.99,0.0944,27.16
2026-02-03,NOVA-ACC-01,accessories,West,online,7,29.99,0.0461,200.25
2026-02-03,NOVA-ACC-01,accessories,West,marketplace,3,29.99,0.0495,85.52
2026-02-03,NOVA-ACC-01,accessories,West,b2b,1,29.99,0.0985,27.04
2026-02-03,NOVA-ACC-02,accessories,North,online,6,49.99,0.0466,285.96
2026-02-03,NOVA-ACC-02,accessories,North,marketplace,3,49.99,0.0454,143.16
2026-02-03,NOVA-ACC-02,accessories,North,b2b,1,49.99,0.0924,45.37
2026-02-03,NOVA-ACC-02,accessories,South,online,4,49.99,0.0424,191.48
2026-02-03,NOVA-ACC-02,accessories,South,marketplace,2,49.99,0.0552,94.46
2026-02-03,NOVA-ACC-02,accessories,South,b2b,1,49.99,0.0943,45.28
2026-02-03,NOVA-ACC-02,accessories,East,online,5,49.99,0.0545,236.33
2026-02-03,NOVA-ACC-02,accessories,East,marketplace,3,49.99,0.0505,142.4
2026-02-03,NOVA-ACC-02,accessories,East,b2b,1,49.99,0.092,45.39
2026-02-03,NOVA-ACC-02,accessories,West,online,4,49.99,0.0445,191.06
2026-02-03,NOVA-ACC-02,accessories,West,marketplace,2,49.99,0.0403,95.95
2026-02-03,NOVA-ACC-02,accessories,West,b2b,1,49.99,0.0955,45.22
2026-02-04,NOVA-AUD-01,audio,North,online,5,149.99,0.0511,711.63
2026-02-04,NOVA-AUD-01,audio,North,marketplace,2,149.99,0.0425,287.23
2026-02-04,NOVA-AUD-01,audio,North,b2b,1,149.99,0.0998,135.02
2026-02-04,NOVA-AUD-01,audio,South,online,3,149.99,0.0515,426.8
2026-02-04,NOVA-AUD-01,audio,South,marketplace,1,149.99,0.0488,142.67
2026-02-04,NOVA-AUD-01,audio,East,online,3,149.99,0.0588,423.51
2026-02-04,NOVA-AUD-01,audio,East,marketplace,2,149.99,0.0564,283.06
2026-02-04,NOVA-AUD-01,audio,East,b2b,1,149.99,0.0915,136.27
2026-02-04,NOVA-AUD-01,audio,West,online,3,149.99,0.0411,431.48
2026-02-04,NOVA-AUD-01,audio,West,marketplace,1,149.99,0.0513,142.3
2026-02-04,NOVA-AUD-02,audio,North,online,6,89.99,0.0424,517.05
2026-02-04,NOVA-AUD-02,audio,North,marketplace,3,89.99,0.0521,255.9
2026-02-04,NOVA-AUD-02,audio,North,b2b,1,89.99,0.0945,81.49
2026-02-04,NOVA-AUD-02,audio,South,online,4,89.99,0.049,342.32
2026-02-04,NOVA-AUD-02,audio,South,marketplace,2,89.99,0.0572,169.69
2026-02-04,NOVA-AUD-02,audio,South,b2b,1,89.99,0.0961,81.34
2026-02-04,NOVA-AUD-02,audio,East,online,5,89.99,0.0522,426.46
2026-02-04,NOVA-AUD-02,audio,East,marketplace,3,89.99,0.059,254.04
2026-02-04,NOVA-AUD-02,audio,East,b2b,1,89.99,0.0942,81.51
2026-02-04,NOVA-AUD-02,audio,West,online,4,89.99,0.0431,344.45
2026-02-04,NOVA-AUD-02,audio,West,marketplace,2,89.99,0.0415,172.51
2026-02-04,NOVA-MOB-01,mobile,North,online,2,699.99,0.0519,1327.32
2026-02-04,NOVA-MOB-01,mobile,North,marketplace,1,699.99,0.0446,668.77
2026-02-04,NOVA-MOB-01,mobile,South,online,2,699.99,0.0491,1331.24
2026-02-04,NOVA-MOB-01,mobile,South,marketplace,1,699.99,0.0585,659.04
2026-02-04,NOVA-MOB-01,mobile,East,online,2,699.99,0.0532,1325.5
2026-02-04,NOVA-MOB-01,mobile,East,marketplace,1,699.99,0.0485,666.04
2026-02-04,NOVA-MOB-01,mobile,West,online,2,699.99,0.0582,1318.5
2026-02-04,NOVA-MOB-01,mobile,West,marketplace,1,699.99,0.0414,671.01
2026-02-04,NOVA-MOB-02,mobile,North,online,3,449.99,0.055,1275.72
2026-02-04,NOVA-MOB-02,mobile,North,marketplace,1,449.99,0.0458,429.38
2026-02-04,NOVA-MOB-02,mobile,South,online,2,449.99,0.054,851.38
2026-02-04,NOVA-MOB-02,mobile,South,marketplace,1,449.99,0.05,427.49
2026-02-04,NOVA-MOB-02,mobile,East,online,2,449.99,0.0408,863.26
2026-02-04,NOVA-MOB-02,mobile,East,marketplace,1,449.99,0.0464,429.11
2026-02-04,NOVA-MOB-02,mobile,West,online,2,449.99,0.0592,846.7
2026-02-04,NOVA-MOB-02,mobile,West,marketplace,1,449.99,0.0515,426.82
2026-02-04,NOVA-CPT-01,computing,North,online,2,999.99,0.0534,1893.18
2026-02-04,NOVA-CPT-01,computing,South,online,1,999.99,0.0494,950.59
2026-02-04,NOVA-CPT-01,computing,East,online,1,999.99,0.0517,948.29
2026-02-04,NOVA-CPT-01,computing,East,marketplace,1,999.99,0.0498,950.19
2026-02-04,NOVA-CPT-01,computing,West,online,1,999.99,0.0467,953.29
2026-02-04,NOVA-CPT-02,computing,North,online,2,399.99,0.0539,756.86
2026-02-04,NOVA-CPT-02,computing,North,marketplace,1,399.99,0.0589,376.43
2026-02-04,NOVA-CPT-02,computing,South,online,1,399.99,0.0491,380.35
2026-02-04,NOVA-CPT-02,computing,East,online,2,399.99,0.0481,761.5
2026-02-04,NOVA-CPT-02,computing,East,marketplace,1,399.99,0.0598,376.07
2026-02-04,NOVA-CPT-02,computing,West,online,1,399.99,0.0483,380.67
2026-02-04,NOVA-WBL-01,wearables,North,online,3,299.99,0.0525,852.72
2026-02-04,NOVA-WBL-01,wearables,North,marketplace,1,299.99,0.0441,286.76
2026-02-04,NOVA-WBL-01,wearables,South,online,2,299.99,0.0488,570.7
