date,sku,dc_id,region,on_hand_units,allocated_units,available_units,fill_rate
2026-02-01,NOVA-ACC-01,DC-WEST,West,670,286,384,0.8464
2026-02-01,NOVA-ACC-02,DC-NORTH,North,492,181,311,0.8648
2026-02-01,NOVA-ACC-02,DC-SOUTH,South,637,248,389,0.8488
2026-02-01,NOVA-ACC-02,DC-EAST,East,607,202,405,0.8492
2026-02-01,NOVA-ACC-02,DC-WEST,West,585,261,324,0.9175
2026-02-02,NOVA-AUD-01,DC-NORTH,North,366,148,218,0.8754
2026-02-02,NOVA-AUD-01,DC-SOUTH,South,427,148,279,0.9302
2026-02-02,NOVA-AUD-01,DC-EAST,East,432,123,309,0.9388
2026-02-02,NOVA-AUD-01,DC-WEST,West,417,145,272,0.8995
2026-02-02,NOVA-AUD-02,DC-NORTH,North,477,201,276,0.9304
2026-02-02,NOVA-AUD-02,DC-SOUTH,South,449,196,253,0.9232
2026-02-02,NOVA-AUD-02,DC-EAST,East,427,185,242,0.8519
2026-02-02,NOVA-AUD-02,DC-WEST,West,461,162,299,0.8781
2026-02-02,NOVA-MOB-01,DC-NORTH,North,232,93,139,0.9522
2026-02-02,NOVA-MOB-01,DC-SOUTH,South,257,89,168,0.9495
2026-02-02,NOVA-MOB-01,DC-EAST,East,242,95,147,0.8742
2026-02-02,NOVA-MOB-01,DC-WEST,West,223,61,162,0.928
2026-02-02,NOVA-MOB-02,DC-NORTH,North,264,108,156,0.9376
2026-02-02,NOVA-MOB-02,DC-SOUTH,South,305,104,201,0.9106
2026-02-02,NOVA-MOB-02,DC-EAST,East,327,127,200,0.8707
2026-02-02,NOVA-MOB-02,DC-WEST,West,273,120,153,0.8845
2026-02-02,NOVA-CPT-01,DC-NORTH,North,177,55,122,0.8468
2026-02-02,NOVA-CPT-01,DC-SOUTH,South,145,56,89,0.8575
2026-02-02,NOVA-CPT-01,DC-EAST,East,146,51,95,0.8944
2026-02-02,NOVA-CPT-01,DC-WEST,West,180,56,124,0.922
2026-02-02,NOVA-CPT-02,DC-NORTH,North,233,81,152,0.88
2026-02-02,NOVA-CPT-02,DC-SOUTH,South,212,56,156,0.8546
2026-02-02,NOVA-CPT-02,DC-EAST,East,198,81,117,0.8486
2026-02-02,NOVA-CPT-02,DC-WEST,West,192,80,112,0.8586
2026-02-02,NOVA-WBL-01,DC-NORTH,North,266,112,154,0.8641
2026-02-02,NOVA-WBL-01,DC-SOUTH,South,271,97,174,0.9072
2026-02-02,NOVA-WBL-01,DC-EAST,East,238,75,163,0.8565
2026-02-02,NOVA-WBL-01,DC-WEST,West,241,107,134,0.9352
2026-02-02,NOVA-WBL-02,DC-NORTH,North,414,158,256,0.8655
2026-02-02,NOVA-WBL-02,DC-SOUTH,South,397,117,280,0.9397
2026-02-02,NOVA-WBL-02,DC-EAST,East,378,109,269,0.9165
2026-02-02,NOVA-WBL-02,DC-WEST,West,366,139,227,0.9491
2026-02-02,NOVA-ACC-01,DC-NORTH,North,695,291,404,0.9165
2026-02-02,NOVA-ACC-01,DC-SOUTH,South,783,328,455,0.9359
2026-02-02,NOVA-ACC-01,DC-EAST,East,726,192,534,0.9449
2026-02-02,NOVA-ACC-01,DC-WEST,West,718,267,451,0.8549
2026-02-02,NOVA-ACC-02,DC-NORTH,North,594,245,349,0.8499
2026-02-02,NOVA-ACC-02,DC-SOUTH,South,554,154,400,0.899
2026-02-02,NOVA-ACC-02,DC-EAST,East,482,192,290,0.8854
2026-02-02,NOVA-ACC-02,DC-WEST,West,592,215,377,0.9056
2026-02-03,NOVA-AUD-01,DC-NORTH,North,384,160,224,0.8681
2026-02-03,NOVA-AUD-01,DC-SOUTH,South,413,176,237,0.8707
2026-02-03,NOVA-AUD-01,DC-EAST,East,446,143,303,0.8581
2026-02-03,NOVA-AUD-01,DC-WEST,West,380,109,271,0.8603
2026-02-03,NOVA-AUD-02,DC-NORTH,North,559,143,416,0.9371
2026-02-03,NOVA-AUD-02,DC-SOUTH,South,501,163,338,0.8589
2026-02-03,NOVA-AUD-02,DC-EAST,East,452,192,260,0.8852
2026-02-03,NOVA-AUD-02,DC-WEST,West,427,169,258,0.8825
2026-02-03,NOVA-MOB-01,DC-NORTH,North,229,87,142,0.8492
2026-02-03,NOVA-MOB-01,DC-SOUTH,South,244,70,174,0.9394
2026-02-03,NOVA-MOB-01,DC-EAST,East,284,118,166,0.9353
2026-02-03,NOVA-MOB-01,DC-WEST,West,225,100,125,0.8976
2026-02-03,NOVA-MOB-02,DC-NORTH,North,270,112,158,0.8825
2026-02-03,NOVA-MOB-02,DC-SOUTH,South,320,106,214,0.8824
2026-02-03,NOVA-MOB-02,DC-EAST,East,283,73,210,0.9319
2026-02-03,NOVA-MOB-02,DC-WEST,West,282,125,157,0.9492
2026-02-03,NOVA-CPT-01,DC-NORTH,North,161,49,112,0.8699
2026-02-03,NOVA-CPT-01,DC-SOUTH,South,147,46,101,0.9005
2026-02-03,NOVA-CPT-01,DC-EAST,East,178,45,133,0.9057
2026-02-03,NOVA-CPT-01,DC-WEST,West,147,40,107,0.8867
2026-02-03,NOVA-CPT-02,DC-NORTH,North,201,53,148,0.8795
2026-02-03,NOVA-CPT-02,DC-SOUTH,South,211,80,131,0.8749
2026-02-03,NOVA-CPT-02,DC-EAST,East,201,89,112,0.9304
2026-02-03,NOVA-CPT-02,DC-WEST,West,192,57,135,0.9144
2026-02-03,NOVA-WBL-01,DC-NORTH,North,320,135,185,0.885
2026-02-03,NOVA-WBL-01,DC-SOUTH,South,298,117,181,0.9487
2026-02-03,NOVA-WBL-01,DC-EAST,East,270,107,163,0.9154
2026-02-03,NOVA-WBL-01,DC-WEST,West,242,84,158,0.9284
2026-02-03,NOVA-WBL-02,DC-NORTH,North,472,120,352,0.8691
2026-02-03,NOVA-WBL-02,DC-SOUTH,South,357,116,241,0.8836
2026-02-03,NOVA-WBL-02,DC-EAST,East,432,155,277,0.9112
2026-02-03,NOVA-WBL-02,DC-WEST,West,408,103,305,0.9101
2026-02-03,NOVA-ACC-01,DC-NORTH,North,851,343,508,0.8495
2026-02-03,NOVA-ACC-01,DC-SOUTH,South,878,240,638,0.9522
2026-02-03,NOVA-ACC-01,DC-EAST,East,788,222,566,0.934
2026-02-03,NOVA-ACC-01,DC-WEST,West,761,286,475,0.9327
2026-02-03,NOVA-ACC-02,DC-NORTH,North,523,140,383,0.8883
2026-02-03,NOVA-ACC-02,DC-SOUTH,South,502,140,362,0.9148
2026-02-03,NOVA-ACC-02,DC-EAST,East,562,246,316,0.9531
2026-02-03,NOVA-ACC-02,DC-WEST,West,599,230,369,0.8833
2026-02-04,NOVA-AUD-01,DC-NORTH,North,396,157,239,0.9147
2026-02-04,NOVA-AUD-01,DC-SOUTH,South,430,162,268,0.9307
2026-02-04,NOVA-AUD-01,DC-EAST,East,352,98,254,0.8464
2026-02-04,NOVA-AUD-01,DC-WEST,West,432,189,243,0.9517
2026-02-04,NOVA-AUD-02,DC-NORTH,North,428,109,319,0.8706
2026-02-04,NOVA-AUD-02,DC-SOUTH,South,531,168,363,0.8767
2026-02-04,NOVA-AUD-02,DC-EAST,East,471,145,326,0.8733
2026-02-04,NOVA-AUD-02,DC-WEST,West,531,209,322,0.9228
2026-02-04,NOVA-MOB-01,DC-NORTH,North,270,73,197,0.9439
2026-02-04,NOVA-MOB-01,DC-SOUTH,South,284,124,160,0.8824
2026-02-04,NOVA-MOB-01,DC-EAST,East,219,67,152,0.9087
2026-02-04,NOVA-MOB-01,DC-WEST,West,241,106,135,0.9498
2026-02-04,NOVA-MOB-02,DC-NORTH,North,266,99,167,0.943
2026-02-04,NOVA-MOB-02,DC-SOUTH,South,352,138,214,0.8838
2026-02-04,NOVA-MOB-02,DC-EAST,East,305,135,170,0.8919
2026-02-04,NOVA-MOB-02,DC-WEST,West,346,95,251,0.8945
2026-02-04,NOVA-CPT-01,DC-NORTH,North,149,44,105,0.8906
2026-02-04,NOVA-CPT-01,DC-SOUTH,South,147,64,83,0.9119
2026-02-04,NOVA-CPT-01,DC-EAST,East,171,74,97,0.8742
2026-02-04,NOVA-CPT-01,DC-WEST,West,145,51,94,0.8745
2026-02-04,NOVA-CPT-02,DC-NORTH,North,205,63,142,0.8505
2026-02-04,NOVA-CPT-02,DC-SOUTH,South,231,77,154,0.8935
2026-02-04,NOVA-CPT-02,DC-EAST,East,185,48,137,0.8922
2026-02-04,NOVA-CPT-02,DC-WEST,West,189,60,129,0.8822
2026-02-04,NOVA-WBL-01,DC-NORTH,North,314,91,223,0.9171
2026-02-04,NOVA-WBL-01,DC-SOUTH,South,253,100,153,0.8946
2026-02-04,NOVA-WBL-01,DC-EAST,East,253,72,181,0.849
2026-02-04,NOVA-WBL-01,DC-WEST,West,286,88,198,0.8535
2026-02-04,NOVA-WBL-02,DC-NORTH,North,403,155,248,0.8564
2026-02-04,NOVA-WBL-02,DC-SOUTH,South,388,172,216,0.9123
2026-02-04,NOVA-WBL-02,DC-EAST,East,401,144,257,0.9059
2026-02-04,NOVA-WBL-02,DC-WEST,West,426,144,282,0.9123
2026-02-04,NOVA-ACC-01,DC-NORTH,North,703,294,409,0.9262
2026-02-04,NOVA-ACC-01,DC-SOUTH,South,797,343,454,0.8488
2026-02-04,NOVA-ACC-01,DC-EAST,East,866,348,518,0.9488
2026-02-04,NOVA-ACC-01,DC-WEST,West,692,253,439,0.9164
2026-02-04,NOVA-ACC-02,DC-NORTH,North,639,215,424,0.8578
2026-02-04,NOVA-ACC-02,DC-SOUTH,South,612,248,364,0.9478
2026-02-04,NOVA-ACC-02,DC-EAST,East,523,159,364,0.8901
2026-02-04,NOVA-ACC-02,DC-WEST,West,634,219,415,0.874
2026-02-05,NOVA-AUD-01,DC-NORTH,North,398,127,271,0.8643
2026-02-05,NOVA-AUD-01,DC-SOUTH,South,438,158,280,0.9455
2026-02-05,NOVA-AUD-01,DC-EAST,East,340,131,209,0.9161
2026-02-05,NOVA-AUD-01,DC-WEST,West,450,197,253,0.8728
2026-02-05,NOVA-AUD-02,DC-NORTH,North,561,248,313,0.9087
2026-02-05,NOVA-AUD-02,DC-SOUTH,South,439,150,289,0.8477
2026-02-05,NOVA-AUD-02,DC-EAST,East,501,213,288,0.9016
2026-02-05,NOVA-AUD-02,DC-WEST,West,434,121,313,0.8832
2026-02-05,NOVA-MOB-01,DC-NORTH,North,239,99,140,0.8731
2026-02-05,NOVA-MOB-01,DC-SOUTH,South,254,107,147,0.8808
2026-02-05,NOVA-MOB-01,DC-EAST,East,239,60,179,0.8661
2026-02-05,NOVA-MOB-01,DC-WEST,West,284,120,164,0.9045
2026-02-05,NOVA-MOB-02,DC-NORTH,North,299,124,175,0.8587
2026-02-05,NOVA-MOB-02,DC-SOUTH,South,332,91,241,0.9366
2026-02-05,NOVA-MOB-02,DC-EAST,East,334,118,216,0.9301
2026-02-05,NOVA-MOB-02,DC-WEST,West,278,117,161,0.9334
2026-02-05,NOVA-CPT-01,DC-NORTH,North,181,77,104,0.9378
2026-02-05,NOVA-CPT-01,DC-SOUTH,South,159,40,119,0.8928
2026-02-05,NOVA-CPT-01,DC-EAST,East,153,38,115,0.9184
2026-02-05,NOVA-CPT-01,DC-WEST,West,154,40,114,0.9067
2026-02-05,NOVA-CPT-02,DC-NORTH,North,211,53,158,0.9257
2026-02-05,NOVA-CPT-02,DC-SOUTH,South,218,74,144,0.8894
2026-02-05,NOVA-CPT-02,DC-EAST,East,187,72,115,0.853
2026-02-05,NOVA-CPT-02,DC-WEST,West,232,63,169,0.8479
2026-02-05,NOVA-WBL-01,DC-NORTH,North,239,83,156,0.857
2026-02-05,NOVA-WBL-01,DC-SOUTH,South,276,102,174,0.9517
2026-02-05,NOVA-WBL-01,DC-EAST,East,262,113,149,0.8791
2026-02-05,NOVA-WBL-01,DC-WEST,West,316,96,220,0.9378
2026-02-05,NOVA-WBL-02,DC-NORTH,North,431,192,239,0.8586
2026-02-05,NOVA-WBL-02,DC-SOUTH,South,395,139,256,0.9322
2026-02-05,NOVA-WBL-02,DC-EAST,East,416,149,267,0.879
2026-02-05,NOVA-WBL-02,DC-WEST,West,371,144,227,0.9144
2026-02-05,NOVA-ACC-01,DC-NORTH,North,826,268,558,0.8995
2026-02-05,NOVA-ACC-01,DC-SOUTH,South,795,294,501,0.8959
2026-02-05,NOVA-ACC-01,DC-EAST,East,692,225,467,0.9256
2026-02-05,NOVA-ACC-01,DC-WEST,West,706,277,429,0.8696
2026-02-05,NOVA-ACC-02,DC-NORTH,North,637,279,358,0.8988
2026-02-05,NOVA-ACC-02,DC-SOUTH,South,483,186,297,0.9145
2026-02-05,NOVA-ACC-02,DC-EAST,East,489,187,302,0.8504
2026-02-05,NOVA-ACC-02,DC-WEST,West,544,219,325,0.9198
2026-02-06,NOVA-AUD-01,DC-NORTH,North,447,194,253,0.8747
2026-02-06,NOVA-AUD-01,DC-SOUTH,South,413,128,285,0.8483
2026-02-06,NOVA-AUD-01,DC-EAST,East,385,136,249,0.9384
2026-02-06,NOVA-AUD-01,DC-WEST,West,350,127,223,0.9008
2026-02-06,NOVA-AUD-02,DC-NORTH,North,473,184,289,0.8553
2026-02-06,NOVA-AUD-02,DC-SOUTH,South,509,171,338,0.9467
2026-02-06,NOVA-AUD-02,DC-EAST,East,535,200,335,0.909
2026-02-06,NOVA-AUD-02,DC-WEST,West,485,121,364,0.9195
2026-02-06,NOVA-MOB-01,DC-NORTH,North,228,67,161,0.9269
2026-02-06,NOVA-MOB-01,DC-SOUTH,South,247,97,150,0.8692
2026-02-06,NOVA-MOB-01,DC-EAST,East,233,60,173,0.8695
2026-02-06,NOVA-MOB-01,DC-WEST,West,219,98,121,0.8668
2026-02-06,NOVA-MOB-02,DC-NORTH,North,268,85,183,0.9188
2026-02-06,NOVA-MOB-02,DC-SOUTH,South,327,134,193,0.927
2026-02-06,NOVA-MOB-02,DC-EAST,East,275,75,200,0.8577
2026-02-06,NOVA-MOB-02,DC-WEST,West,354,121,233,0.9459
2026-02-06,NOVA-CPT-01,DC-NORTH,North,151,51,100,0.8736
2026-02-06,NOVA-CPT-01,DC-SOUTH,South,169,72,97,0.927
2026-02-06,NOVA-CPT-01,DC-EAST,East,179,55,124,0.8763
2026-02-06,NOVA-CPT-01,DC-WEST,West,191,83,108,0.9317
2026-02-06,NOVA-CPT-02,DC-NORTH,North,204,63,141,0.9435
2026-02-06,NOVA-CPT-02,DC-SOUTH,South,240,63,177,0.8566
2026-02-06,NOVA-CPT-02,DC-EAST,East,203,72,131,0.91
2026-02-06,NOVA-CPT-02,DC-WEST,West,203,60,143,0.9148
2026-02-06,NOVA-WBL-01,DC-NORTH,North,239,85,154,0.9159
2026-02-06,NOVA-WBL-01,DC-SOUTH,South,312,94,218,0.9053
2026-02-06,NOVA-WBL-01,DC-EAST,East,241,74,167,0.9181
2026-02-06,NOVA-WBL-01,DC-WEST,West,277,110,167,0.9421
2026-02-06,NOVA-WBL-02,DC-NORTH,North,407,175,232,0.8471
2026-02-06,NOVA-WBL-02,DC-SOUTH,South,423,109,314,0.9192
2026-02-06,NOVA-WBL-02,DC-EAST,East,475,203,272,0.9009
2026-02-06,NOVA-WBL-02,DC-WEST,West,435,174,261,0.9185
2026-02-06,NOVA-ACC-01,DC-NORTH,North,719,316,403,0.9331
2026-02-06,NOVA-ACC-01,DC-SOUTH,South,697,247,450,0.8644
2026-02-06,NOVA-ACC-01,DC-EAST,East,669,194,475,0.9208
2026-02-06,NOVA-ACC-01,DC-WEST,West,662,289,373,0.9049
2026-02-06,NOVA-ACC-02,DC-NORTH,North,512,210,302,0.9361
2026-02-06,NOVA-ACC-02,DC-SOUTH,South,489,177,312,0.9205
2026-02-06,NOVA-ACC-02,DC-EAST,East,562,161,401,0.9444
2026-02-06,NOVA-ACC-02,DC-WEST,West,604,222,382,0.8678
2026-02-07,NOVA-AUD-01,DC-NORTH,North,420,105,315,0.8827
2026-02-07,NOVA-AUD-01,DC-SOUTH,South,409,102,307,0.943
2026-02-07,NOVA-AUD-01,DC-EAST,East,394,156,238,0.8759
2026-02-07,NOVA-AUD-01,DC-WEST,West,346,92,254,0.8769
2026-02-07,NOVA-AUD-02,DC-NORTH,North,477,174,303,0.9243
2026-02-07,NOVA-AUD-02,DC-SOUTH,South,445,172,273,0.89
2026-02-07,NOVA-AUD-02,DC-EAST,East,535,155,380,0.8713
2026-02-07,NOVA-AUD-02,DC-WEST,West,523,198,325,0.9419
2026-02-07,NOVA-MOB-01,DC-NORTH,North,226,78,148,0.9211
2026-02-07,NOVA-MOB-01,DC-SOUTH,South,256,92,164,0.8853
2026-02-07,NOVA-MOB-01,DC-EAST,East,282,107,175,0.866
2026-02-07,NOVA-MOB-01,DC-WEST,West,266,94,172,0.8497
2026-02-07,NOVA-MOB-02,DC-NORTH,North,277,80,197,0.8986
2026-02-07,NOVA-MOB-02,DC-SOUTH,South,299,113,186,0.8724
2026-02-07,NOVA-MOB-02,DC-EAST,East,290,125,165,0.8971
2026-02-07,NOVA-MOB-02,DC-WEST,West,309,102,207,0.8627
2026-02-07,NOVA-CPT-01,DC-NORTH,North,167,61,106,0.8476
2026-02-07,NOVA-CPT-01,DC-SOUTH,South,150,64,86,0.9201
2026-02-07,NOVA-CPT-01,DC-EAST,East,169,44,125,0.8826
2026-02-07,NOVA-CPT-01,DC-WEST,West,144,52,92,0.8911
2026-02-07,NOVA-CPT-02,DC-NORTH,North,212,60,152,0.9012
2026-02-07,NOVA-CPT-02,DC-SOUTH,South,193,71,122,0.8699
2026-02-07,NOVA-CPT-02,DC-EAST,East,219,69,150,0.9145
2026-02-07,NOVA-CPT-02,DC-WEST,West,192,77,115,0.8522
2026-02-07,NOVA-WBL-01,DC-NORTH,North,284,79,205,0.9497
2026-02-07,NOVA-WBL-01,DC-SOUTH,South,253,85,168,0.9491
2026-02-07,NOVA-WBL-01,DC-EAST,East,246,82,164,0.8836
2026-02-07,NOVA-WBL-01,DC-WEST,West,287,85,202,0.9296
2026-02-07,NOVA-WBL-02,DC-NORTH,North,431,170,261,0.8722
2026-02-07,NOVA-WBL-02,DC-SOUTH,South,478,136,342,0.8934
2026-02-07,NOVA-WBL-02,DC-EAST,East,436,179,257,0.8907
2026-02-07,NOVA-WBL-02,DC-WEST,West,465,124,341,0.8926
2026-02-07,NOVA-ACC-01,DC-NORTH,North,859,357,502,0.9304
2026-02-07,NOVA-ACC-01,DC-SOUTH,South,691,310,381,0.9343
2026-02-07,NOVA-ACC-01,DC-EAST,East,744,268,476,0.853
2026-02-07,NOVA-ACC-01,DC-WEST,West,787,257,530,0.85
2026-02-07,NOVA-ACC-02,DC-NORTH,North,490,191,299,0.8544
2026-02-07,NOVA-ACC-02,DC-SOUTH,South,501,214,287,0.8461
2026-02-07,NOVA-ACC-02,DC-EAST,East,525,142,383,0.9523
2026-02-07,NOVA-ACC-02,DC-WEST,West,621,159,462,0.9067
2026-02-08,NOVA-AUD-01,DC-NORTH,North,422,116,306,0.9052
2026-02-08,NOVA-AUD-01,DC-SOUTH,South,369,116,253,0.8661
2026-02-08,NOVA-AUD-01,DC-EAST,East,429,153,276,0.9513
2026-02-08,NOVA-AUD-01,DC-WEST,West,383,101,282,0.9461
2026-02-08,NOVA-AUD-02,DC-NORTH,North,534,147,387,0.8948
2026-02-08,NOVA-AUD-02,DC-SOUTH,South,558,142,416,0.8909
2026-02-08,NOVA-AUD-02,DC-EAST,East,527,196,331,0.9162
2026-02-08,NOVA-AUD-02,DC-WEST,West,465,122,343,0.8719
2026-02-08,NOVA-MOB-01,DC-NORTH,North,256,108,148,0.8513
2026-02-08,NOVA-MOB-01,DC-SOUTH,South,241,83,158,0.854
2026-02-08,NOVA-MOB-01,DC-EAST,East,245,88,157,0.9156
2026-02-08,NOVA-MOB-01,DC-WEST,West,286,95,191,0.9466
2026-02-08,NOVA-MOB-02,DC-NORTH,North,284,85,199,0.9261
2026-02-08,NOVA-MOB-02,DC-SOUTH,South,338,112,226,0.8552
2026-02-08,NOVA-MOB-02,DC-EAST,East,341,103,238,0.8699
2026-02-08,NOVA-MOB-02,DC-WEST,West,306,105,201,0.8996
2026-02-08,NOVA-CPT-01,DC-NORTH,North,169,61,108,0.9203
2026-02-08,NOVA-CPT-01,DC-SOUTH,South,156,49,107,0.8712
2026-02-08,NOVA-CPT-01,DC-EAST,East,146,64,82,0.9463
2026-02-08,NOVA-CPT-01,DC-WEST,West,168,65,103,0.8935
2026-02-08,NOVA-CPT-02,DC-NORTH,North,198,84,114,0.9436
2026-02-08,NOVA-CPT-02,DC-SOUTH,South,190,71,119,0.9529
2026-02-08,NOVA-CPT-02,DC-EAST,East,180,49,131,0.8748
2026-02-08,NOVA-CPT-02,DC-WEST,West,178,57,121,0.9375
2026-02-08,NOVA-WBL-01,DC-NORTH,North,279,73,206,0.859
2026-02-08,NOVA-WBL-01,DC-SOUTH,South,278,98,180,0.9127
2026-02-08,NOVA-WBL-01,DC-EAST,East,304,111,193,0.905
2026-02-08,NOVA-WBL-01,DC-WEST,West,244,80,164,0.8577
2026-02-08,NOVA-WBL-02,DC-NORTH,North,357,105,252,0.9238
2026-02-08,NOVA-WBL-02,DC-SOUTH,South,383,108,275,0.8775
2026-02-08,NOVA-WBL-02,DC-EAST,East,385,157,228,0.9532
2026-02-08,NOVA-WBL-02,DC-WEST,West,448,114,334,0.8691
2026-02-08,NOVA-ACC-01,DC-NORTH,North,713,267,446,0.8932
2026-02-08,NOVA-ACC-01,DC-SOUTH,South,860,309,551,0.847
2026-02-08,NOVA-ACC-01,DC-EAST,East,823,258,565,0.9387
2026-02-08,NOVA-ACC-01,DC-WEST,West,658,218,440,0.9381
2026-02-08,NOVA-ACC-02,DC-NORTH,North,579,213,366,0.9451
2026-02-08,NOVA-ACC-02,DC-SOUTH,South,476,166,310,0.9243
2026-02-08,NOVA-ACC-02,DC-EAST,East,560,209,351,0.8683
2026-02-08,NOVA-ACC-02,DC-WEST,West,489,134,355,0.8788
2026-02-09,NOVA-AUD-01,DC-NORTH,North,352,121,231,0.8857
2026-02-09,NOVA-AUD-01,DC-SOUTH,South,367,118,249,0.8506
2026-02-09,NOVA-AUD-01,DC-EAST,East,437,144,293,0.8944
2026-02-09,NOVA-AUD-01,DC-WEST,West,376,129,247,0.9023
2026-02-09,NOVA-AUD-02,DC-NORTH,North,447,125,322,0.8537
2026-02-09,NOVA-AUD-02,DC-SOUTH,South,418,180,238,0.8995
2026-02-09,NOVA-AUD-02,DC-EAST,East,526,131,395,0.8828
2026-02-09,NOVA-AUD-02,DC-WEST,West,425,181,244,0.953
2026-02-09,NOVA-MOB-01,DC-NORTH,North,250,88,162,0.9136
2026-02-09,NOVA-MOB-01,DC-SOUTH,South,286,87,199,0.8515
2026-02-09,NOVA-MOB-01,DC-EAST,East,244,99,145,0.9266
2026-02-09,NOVA-MOB-01,DC-WEST,West,284,118,166,0.8901
2026-02-09,NOVA-MOB-02,DC-NORTH,North,351,135,216,0.8532
2026-02-09,NOVA-MOB-02,DC-SOUTH,South,293,130,163,0.8936
2026-02-09,NOVA-MOB-02,DC-EAST,East,299,122,177,0.8638
2026-02-09,NOVA-MOB-02,DC-WEST,West,288,93,195,0.9109
2026-02-09,NOVA-CPT-01,DC-NORTH,North,178,47,131,0.8551
2026-02-09,NOVA-CPT-01,DC-SOUTH,South,153,61,92,0.9428
2026-02-09,NOVA-CPT-01,DC-EAST,East,183,77,106,0.9513
2026-02-09,NOVA-CPT-01,DC-WEST,West,159,50,109,0.9315
2026-02-09,NOVA-CPT-02,DC-NORTH,North,195,79,116,0.8875
2026-02-09,NOVA-CPT-02,DC-SOUTH,South,190,76,114,0.8655
2026-02-09,NOVA-CPT-02,DC-EAST,East,179,51,128,0.9401
2026-02-09,NOVA-CPT-02,DC-WEST,West,212,87,125,0.8795
2026-02-09,NOVA-WBL-01,DC-NORTH,North,297,130,167,0.9095
2026-02-09,NOVA-WBL-01,DC-SOUTH,South,269,69,200,0.9221
2026-02-09,NOVA-WBL-01,DC-EAST,East,309,122,187,0.92
2026-02-09,NOVA-WBL-01,DC-WEST,West,281,112,169,0.9019
2026-02-09,NOVA-WBL-02,DC-NORTH,North,361,98,263,0.9151
2026-02-09,NOVA-WBL-02,DC-SOUTH,South,381,170,211,0.9473
2026-02-09,NOVA-WBL-02,DC-EAST,East,423,127,296,0.8574
2026-02-09,NOVA-WBL-02,DC-WEST,West,458,150,308,0.944
2026-02-09,NOVA-ACC-01,DC-NORTH,North,857,362,495,0.9121
2026-02-09,NOVA-ACC-01,DC-SOUTH,South,854,240,614,0.9262
2026-02-09,NOVA-ACC-01,DC-EAST,East,794,338,456,0.9109
2026-02-09,NOVA-ACC-01,DC-WEST,West,813,251,562,0.9479
2026-02-09,NOVA-ACC-02,DC-NORTH,North,487,137,350,0.9314
2026-02-09,NOVA-ACC-02,DC-SOUTH,South,522,219,303,0.8809
2026-02-09,NOVA-ACC-02,DC-EAST,East,615,228,387,0.9104
2026-02-09,NOVA-ACC-02,DC-WEST,West,630,217,413,0.883
